Country,Timeframe,Sex,Year,Age,mx
GBRTENW,Period,Female,1843,102,0.56646
GBRTENW,Period,Female,1843,103,0.61225
GBRTENW,Period,Female,1843,104,0.65745
GBRTENW,Period,Female,1843,105,0.74371
GBRTENW,Period,Female,1843,106,0.96657
GBRTENW,Period,Female,1843,107,1.36430
GBRTENW,Period,Female,1843,108,6.00000
GBRTENW,Period,Female,1843,109,"NA"
GBRTENW,Period,Female,1843,110,"NA"
GBRTENW,Period,Female,1844,0,0.14552
GBRTENW,Period,Female,1844,1,0.06058
GBRTENW,Period,Female,1844,2,0.03644
GBRTENW,Period,Female,1844,3,0.02455
GBRTENW,Period,Female,1844,4,0.01738
GBRTENW,Period,Female,1844,5,0.01360
GBRTENW,Period,Female,1844,6,0.01088
GBRTENW,Period,Female,1844,7,0.00849
GBRTENW,Period,Female,1844,8,0.00658
GBRTENW,Period,Female,1844,9,0.00544
GBRTENW,Period,Female,1844,10,0.00500
GBRTENW,Period,Female,1844,11,0.00482
GBRTENW,Period,Female,1844,12,0.00486
GBRTENW,Period,Female,1844,13,0.00510
GBRTENW,Period,Female,1844,14,0.00555
GBRTENW,Period,Female,1844,15,0.00624
GBRTENW,Period,Female,1844,16,0.00693
GBRTENW,Period,Female,1844,17,0.00755
GBRTENW,Period,Female,1844,18,0.00806
GBRTENW,Period,Female,1844,19,0.00852
GBRTENW,Period,Female,1844,20,0.00894
GBRTENW,Period,Female,1844,21,0.00926
GBRTENW,Period,Female,1844,22,0.00934
GBRTENW,Period,Female,1844,23,0.00918
GBRTENW,Period,Female,1844,24,0.00913
GBRTENW,Period,Female,1844,25,0.00916
GBRTENW,Period,Female,1844,26,0.00923
GBRTENW,Period,Female,1844,27,0.00946
GBRTENW,Period,Female,1844,28,0.00988
GBRTENW,Period,Female,1844,29,0.01019
GBRTENW,Period,Female,1844,30,0.01030
GBRTENW,Period,Female,1844,31,0.01035
GBRTENW,Period,Female,1844,32,0.01038
GBRTENW,Period,Female,1844,33,0.01039
GBRTENW,Period,Female,1844,34,0.01044
GBRTENW,Period,Female,1844,35,0.01056
GBRTENW,Period,Female,1844,36,0.01077
GBRTENW,Period,Female,1844,37,0.01126
GBRTENW,Period,Female,1844,38,0.01214
GBRTENW,Period,Female,1844,39,0.01278
GBRTENW,Period,Female,1844,40,0.01299
GBRTENW,Period,Female,1844,41,0.01311
GBRTENW,Period,Female,1844,42,0.01288
GBRTENW,Period,Female,1844,43,0.01231
GBRTENW,Period,Female,1844,44,0.01206
GBRTENW,Period,Female,1844,45,0.01222
GBRTENW,Period,Female,1844,46,0.01256
GBRTENW,Period,Female,1844,47,0.01342
GBRTENW,Period,Female,1844,48,0.01489
GBRTENW,Period,Female,1844,49,0.01616
GBRTENW,Period,Female,1844,50,0.01684
GBRTENW,Period,Female,1844,51,0.01737
GBRTENW,Period,Female,1844,52,0.01743
GBRTENW,Period,Female,1844,53,0.01697
GBRTENW,Period,Female,1844,54,0.01704
GBRTENW,Period,Female,1844,55,0.01789
GBRTENW,Period,Female,1844,56,0.01905
GBRTENW,Period,Female,1844,57,0.02147
GBRTENW,Period,Female,1844,58,0.02601
GBRTENW,Period,Female,1844,59,0.03013
GBRTENW,Period,Female,1844,60,0.03241
GBRTENW,Period,Female,1844,61,0.03462
GBRTENW,Period,Female,1844,62,0.03503
GBRTENW,Period,Female,1844,63,0.03346
GBRTENW,Period,Female,1844,64,0.03393
GBRTENW,Period,Female,1844,65,0.03665
GBRTENW,Period,Female,1844,66,0.03970
GBRTENW,Period,Female,1844,67,0.04500
GBRTENW,Period,Female,1844,68,0.05452
GBRTENW,Period,Female,1844,69,0.06312
GBRTENW,Period,Female,1844,70,0.06810
GBRTENW,Period,Female,1844,71,0.07325
GBRTENW,Period,Female,1844,72,0.07677
GBRTENW,Period,Female,1844,73,0.07790
GBRTENW,Period,Female,1844,74,0.08130
GBRTENW,Period,Female,1844,75,0.08783
GBRTENW,Period,Female,1844,76,0.09474
GBRTENW,Period,Female,1844,77,0.10584
GBRTENW,Period,Female,1844,78,0.12537
GBRTENW,Period,Female,1844,79,0.14359
GBRTENW,Period,Female,1844,80,0.12359
GBRTENW,Period,Female,1844,81,0.13621
GBRTENW,Period,Female,1844,82,0.15033
GBRTENW,Period,Female,1844,83,0.16293
GBRTENW,Period,Female,1844,84,0.17668
GBRTENW,Period,Female,1844,85,0.18644
GBRTENW,Period,Female,1844,86,0.20109
GBRTENW,Period,Female,1844,87,0.21660
GBRTENW,Period,Female,1844,88,0.23297
GBRTENW,Period,Female,1844,89,0.25018
GBRTENW,Period,Female,1844,90,0.26825
GBRTENW,Period,Female,1844,91,0.28712
GBRTENW,Period,Female,1844,92,0.30680
GBRTENW,Period,Female,1844,93,0.32722
GBRTENW,Period,Female,1844,94,0.34851
GBRTENW,Period,Female,1844,95,0.37047
GBRTENW,Period,Female,1844,96,0.39285
GBRTENW,Period,Female,1844,97,0.41608
GBRTENW,Period,Female,1844,98,0.44010
GBRTENW,Period,Female,1844,99,0.46435
GBRTENW,Period,Female,1844,100,0.48957
GBRTENW,Period,Female,1844,101,0.51822
GBRTENW,Period,Female,1844,102,0.55167
GBRTENW,Period,Female,1844,103,0.59394
GBRTENW,Period,Female,1844,104,0.65340
GBRTENW,Period,Female,1844,105,0.71045
GBRTENW,Period,Female,1844,106,0.88033
GBRTENW,Period,Female,1844,107,1.67586
